@relation train

@attribute Document string
@attribute class-rohit {one, five}

@data
"domestic legal narrow unprofessional",one
"amazing same regular speacial whole new lucky",five
"amazing friendly grassy busy",five
"awesome great terrible good mediocre dead old prime last whole many comparable",one
"mexican fortunate authentic great cooler",five
"last amazing fantastic awesome",five
"unbelievable rich native recent recipient strong indian unforgettable unique indigenous open smart casual wild prestigious national same personal",five
"glad other primary unbelievable worst several outrageous new same wrong",one
"old entire favorite good different many serious free amazing extra",five
"multiple disappointed great unique tasty remembered trendy nice simple contemporary same fresh entertaining good tired",five
"major",one
"last additional snotty specific nice",one
"disappointing unwelcomed rude such high great many interesting negative",one
"favorite happy many awesome full good local",five
"third great 6th such adequate solid",five
"great pristine proper competitive rude bad different own younger funny",five
"crazy scary weird bad creepy",one
"terrible immediate",one
"great japanese fresh reasonable",five
"last few new sick disappointed good",one
"quick amazing nice tangy generous delicious super friendly helpful",five
"free routine worthless correct loud stinky burnt located pointed verbal other human 27th extra decent mediocre necessary",one
"amazing great",five
"other true personal corporate hung available shady",one
"new super friendly courteous east hot crunchy good slow subpar microscopic smallest molecular special same picky few worse classy bland delicious italian urban flavorful",one
"terrible dirty crappy thin single",one
"indescribable native",five
"mexican east bad amazing pitiful other",five
"8th incompetent disruptive expensive free single same infested such exciting corporate clean horrible nice least miserable unlikely due questionable worth",one
"local located blue cute good friendly excellent other tony low few 2nd great unique different",five
"closest red dark poor professional",one
"good newborn non existent great different same illiterate high crappy",one
"good soggy burnt crispy worth fresh okay new sad",one
"worst chinese sweet sour super cheap edible good ridiculous",one
"minor last good quick browned absolute favorite mixed fair messy",five
"wrong uneven heartbroken",one
"rude disrespectful other bad poor",one
"horrible new bad raw gross good moot",one
"rude bad",one
"happy last several amazing fantastic personable great knowledgeable outstanding delicious complimentary new",five
"fabulous negative authentic",five
"several polite personable cold old automatic many prepared general new hectic open disappointed",one
"mediocre caucasian fresh comparable mexican good terrible",one
"poor awful happy attentive nasty bad worse cold same gross disappointed hungry",one
"bland sick mediocre blue meatless awesome delicious east",five
"bad slow actual",one
"last great spooky other fresh dusty dark",five
"excellent friendly unique amazing",five
"fitting single clean",one
"great good delicious happy everyday",five
"younger black new hungry good general baked 5pm available few least lukewarm greasy smallest bad green pleased regular cold warm true positive whole interested awesome",one
"other fresh many healthy terrible clean",one
"worse",one
"delicious red great bland wonderful worth",five
"high last deaf difficult quiet nice super loud able other eclectic negative sticky knowledgeable baked actual less impressive attentive higher monstrous dark holy delicious good",five
"great horrible rude grey nasty bad loud",one
"good larger worst apathetic rude least slow prepared huge hot unhelpful mindless other nice full frustrated graphic",one
"excellent less clean",one
"horrible flat less poorest last convenient",one
"great",five
"prime delish dirty",five
"favorite good fresh quick surprising busy",five
"reasonable athletic great encouraged disappointed embarrassed sorry same",one
"last classless cheap sick medical contagious able tired rude minimal unpleasant exact aware awful classy",one
"poor bad",one
"clean certain",one
"great impressed older small high sweet",one
"available few",five
"complete old black great minor friendly personable flexible new immaculate cheaper deluxe",five
"worst experienced local last flexible respectful super new ready courteous intact available least wonderful",one
"sweet last such great knowledgeable glad worth huge new superb",five
"new favorite small mexican great last",five
"15th hot sour unhappy attentive golden wonderful",five
"favorite spectacular spotless consistant friendly painless great impeccible french",five
"great intimate wonderful strong",five
"happy great",five
"least reasonable noisy larger tasteless worth good spectacular",one
"mixed",one
"incredible old familiar dazzling authentic italian such great fresh creamy delicious stunning beautiful true",five
